AAPL
         OPEN       HIGH        LOW      CLOSE       VOLUME        DATE  TYPICAL PRICE
3   76.809998  77.607498  76.550003  77.407501  170108400.0  2020-01-09          77.19
4   77.650002  78.167503  77.062500  77.582497  140644800.0  2020-01-10          77.60
5   77.910004  79.267502  77.787498  79.239998  121532000.0  2020-01-13          78.76
6   79.175003  79.392502  78.042503  78.169998  161954400.0  2020-01-14          78.54
7   77.962502  78.875000  77.387497  77.834999  121923600.0  2020-01-15          78.03
8   78.397499  78.925003  78.022499  78.809998  108829200.0  2020-01-16          78.59
9   79.067497  79.684998  78.750000  79.682503  137816400.0  2020-01-17          79.37
10  79.297501  79.754997  79.000000  79.142502  110843200.0  2020-01-21          79.30
11  79.644997  79.997498  79.327499  79.425003  101832400.0  2020-01-22          79.58
12  79.480003  79.889999  78.912498  79.807503  104472000.0  2020-01-23          79.54
13  80.062500  80.832497  79.379997  79.577499  146537600.0  2020-01-24          79.93
14  77.514999  77.942497  76.220001  77.237503  161940000.0  2020-01-27          77.13
15  78.150002  79.599998  78.047501  79.422501  162234000.0  2020-01-28          79.02
16  81.112503  81.962502  80.345001  81.084999  216229200.0  2020-01-29          81.13
17  80.135002  81.022499  79.687500  80.967499  126743200.0  2020-01-30          80.56
18  80.232498  80.669998  77.072502  77.377502  199588400.0  2020-01-31          78.37
19  76.074997  78.372498  75.555000  77.165001  173788400.0  2020-02-03          77.03
20  78.827499  79.910004  78.407501  79.712502  136616400.0  2020-02-04          79.34
21  80.879997  81.190002  79.737503  80.362503  118826800.0  2020-02-05          80.43
22  80.642502  81.305000  80.065002  81.302498  105425600.0  2020-02-06          80.89
23  80.592499  80.849998  79.500000  80.007500  117684000.0  2020-02-07          80.12
24  78.544998  80.387497  78.462502  80.387497  109348800.0  2020-02-10          79.75
25  80.900002  80.974998  79.677498  79.902496   94323200.0  2020-02-11          80.18
26  80.367500  81.805000  80.367500  81.800003  113730400.0  2020-02-12          81.32
27  81.047501  81.555000  80.837502  81.217499   94747600.0  2020-02-13          81.20
28  81.184998  81.495003  80.712502  81.237503   80113600.0  2020-02-14          81.15
29  78.839996  79.937500  78.652496  79.750000  152531200.0  2020-02-18          79.45
30  80.000000  81.142502  80.000000  80.904999   93984000.0  2020-02-19          80.68
31  80.657501  81.162498  79.552498  80.074997  100566000.0  2020-02-20          80.26
32  79.654999  80.112503  77.625000  78.262497  129554000.0  2020-02-21          78.67
MSFT
          OPEN        HIGH         LOW       CLOSE      VOLUME        DATE  TYPICAL PRICE
3   161.839996  162.220001  161.029999  162.089996  21385000.0  2020-01-09         161.78
4   162.820007  163.220001  161.179993  161.339996  20725900.0  2020-01-10         161.91
5   161.759995  163.309998  161.259995  163.279999  21626500.0  2020-01-13         162.62
6   163.389999  163.600006  161.720001  162.130005  23477400.0  2020-01-14         162.48
7   162.619995  163.940002  162.570007  163.179993  21417900.0  2020-01-15         163.23
8   164.350006  166.240005  164.029999  166.169998  23865400.0  2020-01-16         165.48
9   167.419998  167.470001  165.429993  167.100006  34371700.0  2020-01-17         166.67
10  166.679993  168.190002  166.429993  166.500000  29517200.0  2020-01-21         167.04
11  167.399994  167.490005  165.679993  165.699997  24138800.0  2020-01-22         166.29
12  166.190002  166.800003  165.270004  166.720001  19680800.0  2020-01-23         166.26
13  167.509995  167.529999  164.449997  165.039993  24918100.0  2020-01-24         165.67
14  161.149994  163.380005  160.199997  162.279999  32078100.0  2020-01-27         161.95
15  163.779999  165.759995  163.070007  165.460007  24899900.0  2020-01-28         164.76
16  167.839996  168.750000  165.690002  168.039993  34754500.0  2020-01-29         167.49
17  174.050003  174.050003  170.789993  172.779999  51597500.0  2020-01-30         172.54
18  172.210007  172.399994  169.580002  170.229996  36142700.0  2020-01-31         170.74
19  170.429993  174.500000  170.399994  174.380005  30107000.0  2020-02-03         173.09
20  177.139999  180.639999  176.309998  180.119995  36433300.0  2020-02-04         179.02
21  184.029999  184.199997  178.410004  179.899994  39186300.0  2020-02-05         180.84
22  180.970001  183.820007  180.059998  183.630005  27751400.0  2020-02-06         182.50
23  182.850006  185.630005  182.479996  183.889999  33529100.0  2020-02-07         184.00
24  183.580002  188.839996  183.250000  188.699997  35844300.0  2020-02-10         186.93
